gid,dataset,split,image_path,mask_path
drive_21,drive,train,data/organized/drive/images/drive_21.tif,data/organized/drive/masks/drive_21.png
drive_22,drive,train,data/organized/drive/images/drive_22.tif,data/organized/drive/masks/drive_22.png
drive_23,drive,train,data/organized/drive/images/drive_23.tif,data/organized/drive/masks/drive_23.png
drive_24,drive,train,data/organized/drive/images/drive_24.tif,data/organized/drive/masks/drive_24.png
drive_27,drive,train,data/organized/drive/images/drive_27.tif,data/organized/drive/masks/drive_27.png
drive_28,drive,train,data/organized/drive/images/drive_28.tif,data/organized/drive/masks/drive_28.png
drive_29,drive,train,data/organized/drive/images/drive_29.tif,data/organized/drive/masks/drive_29.png
drive_30,drive,train,data/organized/drive/images/drive_30.tif,data/organized/drive/masks/drive_30.png
drive_31,drive,train,data/organized/drive/images/drive_31.tif,data/organized/drive/masks/drive_31.png
drive_32,drive,train,data/organized/drive/images/drive_32.tif,data/organized/drive/masks/drive_32.png
drive_33,drive,train,data/organized/drive/images/drive_33.tif,data/organized/drive/masks/drive_33.png
drive_34,drive,train,data/organized/drive/images/drive_34.tif,data/organized/drive/masks/drive_34.png
drive_36,drive,train,data/organized/drive/images/drive_36.tif,data/organized/drive/masks/drive_36.png
drive_37,drive,train,data/organized/drive/images/drive_37.tif,data/organized/drive/masks/drive_37.png
drive_38,drive,train,data/organized/drive/images/drive_38.tif,data/organized/drive/masks/drive_38.png
drive_39,drive,train,data/organized/drive/images/drive_39.tif,data/organized/drive/masks/drive_39.png
les_av_111,les_av,train,data/organized/les_av/images/les_av_111.png,data/organized/les_av/masks/les_av_111.png
les_av_119,les_av,train,data/organized/les_av/images/les_av_119.png,data/organized/les_av/masks/les_av_119.png
les_av_15,les_av,train,data/organized/les_av/images/les_av_15.png,data/organized/les_av/masks/les_av_15.png
les_av_224,les_av,train,data/organized/les_av/images/les_av_224.png,data/organized/les_av/masks/les_av_224.png
les_av_275,les_av,train,data/organized/les_av/images/les_av_275.png,data/organized/les_av/masks/les_av_275.png
les_av_279,les_av,train,data/organized/les_av/images/les_av_279.png,data/organized/les_av/masks/les_av_279.png
les_av_304,les_av,train,data/organized/les_av/images/les_av_304.png,data/organized/les_av/masks/les_av_304.png
les_av_33,les_av,train,data/organized/les_av/images/les_av_33.png,data/organized/les_av/masks/les_av_33.png
les_av_34,les_av,train,data/organized/les_av/images/les_av_34.png,data/organized/les_av/masks/les_av_34.png
les_av_37,les_av,train,data/organized/les_av/images/les_av_37.png,data/organized/les_av/masks/les_av_37.png
les_av_370,les_av,train,data/organized/les_av/images/les_av_370.png,data/organized/les_av/masks/les_av_370.png
